cod_fundo;nome;classe;situaçao;inicio;atualização
87475; BNP Paribas ACE FIA;ações; E; 2001-04-02; 2020-09-03T16
87701; MAX FI MULT - CRED PRIV IE; Multimercados; A; 2001-01-12; 2017-10-31T15
87726; FC DE FI MULT CRED PRIV IE FITA AZUL; Multimercados; A; 2001-02-13; 2019-12-10T18
87793; ALLSTON FI MULTIMERCADO; Multimercados; A; 2001-04-06; 2015-10-03T13
88005; WESTERN ASSET PGBL RF FC FI RF PREVI; PrevidÃªncia; E; 2001-04-24; 2020-06-25T16
88013; METLIFE GOLD RV 30 FI MULT BALANC PREVD; PrevidÃªncia; A; 2001-05-03; 2019-11-01T15
88188; BRADESCO FIC RF PGBL FINASA PLUS; PrevidÃªncia; A; 2001-05-14; 2019-11-01T18
88781; SANTANDER FC FI VII RF CRED PRIV; PrevidÃªncia; A; 1999-10-21; 2020-02-05T12
88870; GBOEX PREV FI RENDA FIXA; PrevidÃªncia; A; 2001-05-24; 2019-11-20T16
88889; SULAMERICA FIX 100 V FI RF; PrevidÃªncia; A; 2000-01-17; 2019-11-01T17
88900; SULAMERICA MIX 15 IV FI MULTIMERCADO; PrevidÃªncia; A; 2001-01-08; 2019-10-31T18
89036; BRAD FC DE FI RF REFERENCIADO DI SAFIRA; Renda Fixa; A; 2001-06-01; 2020-04-23T16
89044; BRADESCO FIC FI RF SIMPLES BRILHANTE; Renda Fixa; A; 2001-06-01; 2020-04-23T16
89052; BRADESCO FIC DE FI RF REF DI PLATINUM; Renda Fixa; A; 2001-06-01; 2017-01-23T16
89141; BRAM FI RF REFERENCIADO DI RUBI; Renda Fixa; A; 2001-06-01; 2020-01-09T16
89265; DIAMOND FI MULT CRED PRIV INV EXT; Multimercados; A; 2001-05-29; 2020-03-09T12
89567; VALUATION IB FIC DE FIA;ações; A; 2001-06-20; 2020-04-06T16
89583; IU WESTERN ASSET CORPORATE III FI RF; PrevidÃªncia; A; 2001-06-01; 2019-11-01T15
89796; CSHG DI PRIVATE FC FI RF REF; Renda Fixa; A; 2001-05-08; 2019-10-28T16
89915; BRADESCO FI RF REF DI LONGO PRAZO CIP; Renda Fixa; A; 2001-06-28; 2019-12-02T17
89941; SANTANDER FI BISA ACOES;ações; A; 2001-03-29; 2019-06-28T17
90190; CSHG VERDE AM CART ADM REAL FICFI MULT; Multimercados; A; 1999-08-05; 2020-03-26T16
90255; BRADESCO FI MULT CRED PRIV IE MAXIMUS; Multimercados; A; 2001-07-05; 2018-12-10T16
90468; VERDE PVT MULT FICFI; Multimercados; A; 2001-07-02; 2018-09-03T16
90824; BB RF LP INDICE DE PRECO FC; Renda Fixa; A; 2001-07-20; 2018-03-06T15
91189; BRASILPREV MULTIMERCADO DINAMICO III FC; PrevidÃªncia; A; 2001-07-26; 2019-11-01T15
91197; BRASILPREV MULTIMERCADO DINAMICO V FC; PrevidÃªncia; A; 2001-07-26; 2019-11-01T15
91200; BRASILPREV MULTIMERCADO DINAMICO IV FC; PrevidÃªncia; A; 2001-07-26; 2019-11-01T15
91332; BRADESCO FC FI MULT PGBLVGBL FUT COMP I; PrevidÃªncia; A; 2001-07-18; 2019-11-01T18
91367; BTG PACTUAL CAPITAL MARK FI RENDA FIXA; Renda Fixa; A; 2001-07-02; 2020-06-03T16
91448; SANTANDER FICFI SAPPHIRE REFERENCIADO DI; Renda Fixa; A; 2001-05-31; 2018-01-02T15
91480; BRADESCO H FC FI MULT AQUAMARINE; Multimercados; A; 2000-01-17; 2017-10-25T18
91601; BRAM FI CAMBIAL DOLAR; Cambial; A; 2001-07-02; 2018-04-09T15
91741; ITAU LONG TERM CAPITAL FIX RF LP FICFI; Renda Fixa; A; 2001-07-30; 2019-07-02T17
91766; ITAU LONG TERM MAXI FIX RF LP FICFI; Renda Fixa; A; 2001-07-30; 2019-07-02T17
92071; TORONTO FI MULTIMERCADO CRED PRIV IE; Multimercados; A; 2000-01-13; 2019-06-27T17
92118; PARDO RENDA FIXA FUNDO DE INVESTIMENTO; Renda Fixa; A; 2001-07-06; 2018-10-17T15
92241; MAXI PREMIUM RF FICFI; Renda Fixa; A; 2001-07-26; 2020-03-31T16
92304; LAREN MULTIMERCADO FICFI - IE CRED PRIV; Multimercados; A; 1999-06-10; 2016-08-16T15
92541; CAIXA FIC PATRIMONIO IND PRECOS RF LP; Renda Fixa; A; 2000-01-03; 2018-09-18T15
92746; MB MATIC RENDA FIXA LP FIF; Renda Fixa; A; 2001-08-02; 2016-05-09T11
92843; BB INSTITUCIONAL FI RENDA FIXA; Renda Fixa; A; 2001-08-23; 2019-03-13T17
92932; ITAUPREV PREMIUM RF F100 FICFI; PrevidÃªncia; A; 2001-08-29; 2019-11-01T17
93092; ITAU PERSON BALANCEADO FMP FGTS CL;ações; A; 2001-08-24; 2020-04-07T16
93106; ITAU BALANCEADO FMP FGTS CL;ações; A; 2001-08-23; 2020-04-07T16
93114; BRADESCO FMP FGTS CL;ações; A; 2001-08-23; 2019-07-01T18
93165; ITAU UNIBANCO EMPRESAS RF FICFI; Renda Fixa; A; 2001-09-14; 2019-07-02T17
93238; UNICLASS RF REFER DI FICFI; Renda Fixa; A; 2001-09-18; 2019-07-02T17
93386; ARX FUNDO DE INVESTIMENTO EM ACOES;ações; A; 2001-07-18; 2019-06-06T15
93629; BB MILENIO 32 FI RENDA FIXA; Renda Fixa; A; 2001-09-17; 2017-08-03T16
93701; SANTANDER FI IBOVESPA PASSIVO ACOES;ações; A; 2001-09-05; 2019-06-13T15
93734; BRAD FIC MULTIMERCADO PGBL VGBL V30 PLUS; PrevidÃªncia; A; 2001-09-28; 2019-11-01T18
93742; BRADESCO FIC MULTIMERCADO PGBL V40 PLUS; PrevidÃªncia; A; 2001-09-28; 2019-11-01T18
93769; BRADESCO FIC MULTIMERCADO PGBL V15 PLUS; PrevidÃªncia; A; 2001-09-28; 2019-11-01T18
94153; CSHG CENTAURUS FC FI MULT - CRED PRIV IE; Multimercados; A; 2000-08-17; 2018-03-22T17
94196; BRADESCO BJ FIC DE FIA 157;ações; A; 1997-12-22; 2019-06-13T11
94511; IU WESTERN ASSET CORPORATE RV 25 FI MULT; PrevidÃªncia; A; 2001-10-31; 2019-11-01T15
94528; IU WESTERN ASSET PERFORMANCE V FI RF; PrevidÃªncia; A; 2001-10-31; 2019-11-01T17
94536; CAIXA FI MASTER PREFIXADO 50 RF LP; Renda Fixa; A; 2000-12-07; 2018-10-01T18
94552; CAIXA FI MULTIMERCADO RV 30 LONGO PRAZO; Multimercados; A; 2001-02-02; 2019-06-05T18
94579; SANTANDER FC FI ETHICAL ACOES;ações; A; 2001-11-01; 2020-05-11T16
94595; BNP PARIBAS ALCOA SOLIDARIA FI MULTIM; Multimercados; A; 2001-11-01; 2019-03-20T16
94684; SANTANDER FI ETHICAL II ACOES;ações; A; 2001-11-06; 2020-03-09T12
94811; ITAUPREV PREMIUM V40 MULTIMERCADO FICFI; PrevidÃªncia; A; 2001-11-12; 2019-11-01T17
94821; ITAUPREV PREMIUM V20 MULT FICFI; PrevidÃªncia; A; 2001-11-12; 2019-11-01T17
95141; FOCUS FUNDO DE FUNDOS - FICFI MULT; Multimercados; A; 2001-06-01; 2020-04-29T16
95486; FIGO FI MULT CRED PRIV IE; Multimercados; A; 2001-10-01; 2020-08-11T10
95524; SANT FIC FI PREV FIX EXCL RF CRED PRIV; PrevidÃªncia; A; 2001-12-03; 2019-11-01T15
95532; AQUILA 2 FI MULTIMERCADO; Multimercados; A; 2001-12-03; 2016-11-04T16
95540; PRIVATE 24 FIC FI MULTI CREDITO PRIVADO; Multimercados; A; 2001-12-03; 2019-07-02T17
95575; ICATU VANGUARDA XI FI RENDA FIXA; Renda Fixa; A; 1997-01-10; 2019-12-06T19
